Partlist exported from C:/Users/ayhankurt/Documents/EAGLE/projects/Metal Dedektor/Metal Detector.sch at 1.02.2024 16:48

Qty Value                Device                Package                Parts                                  Description                                                                                                                                                         ARROW_PART_NUMBER ARROW_PRICE-STOCK                                                              AVAILABILITY CHECK_PRICES                                                             COPYRIGHT                                                DESCRIPTION                                                                                                                                                         HEIGHT  MANUFACTURER_NAME MANUFACTURER_PART_NUMBER MF           MFR_NAME  MOUSER_PART_NUMBER   MOUSER_PRICE-STOCK                                                                                               MP                                                                                                      MPN OC_FARNELL OC_NEWARK PACKAGE         POPULARITY PRICE PROD_ID   PURCHASE-URL                                                                                                                SNAPEDA_LINK                                                              SPICEPREFIX VALUE
1                        AK500/4               AK500/4                BATTERY                                CONNECTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           unknown    unknown                   4                                                                                                                                                                                                                                                 
1   0.01Ω                R-EU_R1206            R1206                  R2                                     RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                41                                                                                                                                                                                                                               R                
1   0.047uF              C-EUC0603             C0603                  C15                                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               73                                                                                                                                                                                                                               C                
1   0.047uF/50V/XR7      C-EUC0603             C0603                  C34                                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               73                                                                                                                                                                                                                               C                
8   0.1uF                C-EUC0603             C0603                  C2, C11, C12, C13, C16, C27, C29, C30  CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               73                                                                                                                                                                                                                               C                
1   0.1uF/50V/XR7        C-EUC0603             C0603                  C38                                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               73                                                                                                                                                                                                                               C                
8   0Ω                   R-EU_R0603            R0603                  R16, R21, R22, R34, R35, R40, R41, R49 RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                70                                                                                                                                                                                                                               R                
1   1.0uF/25 VDC/XR7     1.0UF-1206-50V-10%    1206                   C9                                     1µF ceramic capacitors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    CAP-09822                                                                                                                                                                                                                   1.0uF
1   1000kΩ               R-EU_R0603            R0603                  R23                                    RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                70                                                                                                                                                                                                                               R                
2   100kΩ                R-EU_R0603            R0603                  R26, R36                               RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                70                                                                                                                                                                                                                               R                
1   100uF/ 6.3V          C-EUC0603             C0603                  C19                                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               73                                                                                                                                                                                                                               C                
2   10KΩ                 R-EU_R0603            R0603                  R17, R18                               RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                70                                                                                                                                                                                                                               R                
1   10RΩ                 R-EU_R1206            R1206                  R13                                    RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                41                                                                                                                                                                                                                               R                
1   10kΩ                 R-EU_R0603            R0603                  R24                                    RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                70                                                                                                                                                                                                                               R                
2   10kΩ                 R-EU_R1206            R1206                  R30, R31                               RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                41                                                                                                                                                                                                                               R                
1   10uF                 C-EUC0603             C0603                  C39                                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               73                                                                                                                                                                                                                               C                
2   10uF/16V             CPOL-EUB              PANASONIC_B            C23, C24                               POLARIZED CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     4                                                                                                                                                                                                                                C                
1   10uF/25 VDC/XR7      1.0UF-1206-50V-10%    1206                   C28                                    1µF ceramic capacitors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    CAP-09822                                                                                                                                                                                                                   1.0uF
2   10uF/25V             C-EUC1210             C1210                  C8, C10                                CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               0                                                                                                                                                                                                                                C                
3   10uF/25V/XR7         1.0UF-1206-50V-10%    1206                   C31, C32, C35                          1µF ceramic capacitors                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    CAP-09822                                                                                                                                                                                                                   1.0uF
1   124kΩ                R-EU_R0603            R0603                  R4                                     RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                70                                                                                                                                                                                                                               R                
1   12kΩ                 R-EU_R0603            R0603                  R37                                    RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                70                                                                                                                                                                                                                               R                
2   15pF                 C-EUC0603             C0603                  C1, C14                                CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               73                                                                                                                                                                                                                               C                
2   1KΩ                  R-EU_R0603            R0603                  R6, R47                                RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                70                                                                                                                                                                                                                               R                
2   1N4148DO35-7         1N4148DO35-7          DO35-7                 D2, D3                                 DIODE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    58                                                                                                                                                                                                                                                
2   1kΩ                  R-EU_R0603            R0603                  R11, R32                               RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                70                                                                                                                                                                                                                               R                
1   1kΩ                  R-EU_R1206            R1206                  R9                                     RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                41                                                                                                                                                                                                                               R                
2   1nF / 50 V           C-EUC0603             C0603                  C17, C18                               CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               73                                                                                                                                                                                                                               C                
1   1uF/ 16v             C-EUC0603             C0603                  C20                                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               73                                                                                                                                                                                                                               C                
1   1uF/16V/XR7          C-EUC0805             C0805                  C36                                    CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               88                                                                                                                                                                                                                               C                
2   1uF/25V/XR7          C-EUC0805             C0805                  C33, C37                               CAPACITOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               88                                                                                                                                                                                                                               C                
